306)      ,132217,şef serviciu tehnic şi componente nucleare
307)      ,132218,şef serviciu termochimic
308)      ,132219,"şef uzină, centrală electrică, gaze, apă"
309)      ,132220,"şef centrală electrică, gaze şi apă"
310)      ,132221,şef atelier reparaţii capitale
311)      ,132222,inspector general industria petrolieră
312)      ,132223,şef formaţie industria petrolieră/ petrochimică
313)      ,132224,şef instalaţie petrolieră
314)      ,132225,şef laborator industria petrolieră
315)      ,132226,şef staţie epurare ape reziduale
316)      ,132227,supervizor geolog şi foraj
317)      ,132228,şef formaţie în industria de maşini şi echipamente
318)      ,132229,şef/ şef adjunct staţie electrică
319)      ,132230,şef/ şef adjunct centru exploatare reţele electrice
320)      ,132231,şef dispecer energetic central (DEC)
321)      ,132232,şef dispecer energetic teritorial (DET)
322)      ,132233,şef formaţie la fabricarea armamentului şi muniţiei
323)      ,132234,şef schimb
324)      ,132235,şef formaţie
325)      ,132301,ajutor şef brigadă în construcţii
326)      ,132302,inginer- şef în construcţii
327)      ,132303,conducător antrepriză construcţii-montaj
328)      ,132304,şef atelier în construcţii
329)      ,132305,şef brigadă complexă sau specializată
330)      ,132306,şef laborator în construcţii
331)      ,132307,şef lot
332)      ,132308,şef şantier
333)      ,132309,şef sector (secţie) drumuri-poduri
334)      ,132310,"şef secţie producţie, exploatare, întreţinere, reparaţii în construcţii şi lucrări publice"
335)      ,132311,şef serviciu în construcţii
336)      ,132312,şef birou în construcţii
337)      ,132313,şef sector exploatare îmbunătăţiri funciare
338)      ,132314,şef sistem exploatare îmbunătăţiri funciare
339)      ,132315,conducător întreprindere mică - patron (girant) în construcţii
340)      ,132401,căpitan- şef port
341)      ,132402,comandant nave maritime
342)      ,132403,comandant coordonator grup mare pescuit oceanic
343)      ,132404,conducător (director şi director adjunct) Administraţia Filială Dunărea de Jos (AFDJ)
344)      ,132405,director zbor
345)      ,132406,inginer- şef transporturi
346)      ,132407,picher şef district
347)      ,132408,revizor general siguranţa circulaţiei
348)      ,132409,şef agenţie navală
349)      ,132410,şef atelier aeroport
350)      ,132411,şef atelier transporturi
351)      ,132412,şef autobază
352)      ,132413,şef birou aeroport
353)      ,132414,şef birou/ serviciu relaţii internaţionale
354)      ,132415,şef birou/ serviciu transport maritim şi fluvial
355)      ,132416,şef coloană auto
356)      ,132417,şef depou/ adjunct
357)      ,132418,"şef district căi ferate, poduri, drumuri"
358)      ,132419,şef divizie căi ferate
359)      ,132420,şef laborator aeroport
360)      ,132421,şef port
361)      ,132422,şef regulator circulaţie căi ferate
362)      ,132423,"şef revizie locomotive, automotoare"
363)      ,132424,şef revizie vagoane
364)      ,132425,şef secţie/ adjunct (sector) transporturi
365)      ,132426,"şef serviciu, centru, staţie, aeroport"
366)      ,132427,şef serviciu filială Administraţia Filială Dunărea de Jos
367)      ,132428,şef staţie căi ferate
368)      ,132429,şef staţie teleferic
369)      ,132430,şef agenţie pilotaj
370)      ,132431,şef cart
371)      ,132432,diriginte oficiu transporturi 
372)      ,132433,şef garaj
373)      ,132434,comandant instructor
374)      ,132435,şef mecanic instructor
375)      ,132436,şef mecanic maritim/ fluvial
376)      ,132437,şef electrician maritim
377)      ,132438,şef atelier reparaţii
378)      ,132439,conducător activitate de transport rutier
379)      ,132440,şef trafic auto intern
380)      ,132441,şef trafic curierat intern
381)      ,132442,şef departament logistică
382)      ,132443,şef birou aprovizionare-desfacere
383)      ,132444,şef depozit 
384)      ,132445,şef serviciu aprovizionare-desfacere
385)      ,132446,şef siloz
386)      ,132447,şef staţie uscare-condiţionare cereale
387)      ,132448,manager achiziţii
388)      ,132449,manager farmacii
389)      ,132450,manager aprovizionare
390)      ,132451,manager relaţia cu furnizorii
391)      ,132452,conducător întreprindere mică - patron (girant) în transporturi
392)      ,132453,şef birou import-export
393)      ,132454,manager sisteme de transport
394)      ,133001,director centru de calcul
395)      ,133002,şef oficiu de calcul
396)      ,133003,şef atelier informatică
397)      ,133004,şef laborator informatică
398)      ,133005,director divizie informatică
399)      ,133006,director departament informatică
400)      ,133007,manager tehnologia informaţiilor şi comunicaţii
401)      ,133008,
402)      ,133009,conducător de întreprindere mică - patron (girant) în informatică 
403)      ,133010,şef atelier telecomunicaţii
404)      ,133011,şef birou exploatare poştală
405)      ,133012,şef birou radiotelecomunicaţii
406)      ,133013,şef centrală telefonică
407)      ,133014,şef centru control calitate emisie radiofonică
408)      ,133015,şef centru control calitate emisie televiziune
409)      ,133016,şef centru control local comunicaţii
410)      ,133017,şef centru dirijare zbor
411)      ,133018,şef centru poştal
412)      ,133019,"şef centru (secţie, sector) radiodifuziune"
413)      ,133020,"şef centru (secţie, sector) telecomunicaţii"
414)      ,133021,şef centru zonal intervenţii radiorelee
415)      ,133022,şef centru zonal de intervenţii translatare TV
416)      ,133023,şef formaţie comunicaţii
417)      ,133024,şef formaţie operaţională telecomunicaţii
418)      ,133025,şef laborator măsurători telecomunicaţii
419)      ,133026,şef laborator radioteleviziune
420)      ,133027,şef laborator telecomunicaţii
421)      ,133028,şef lot telecomunicaţii
422)      ,133029,şef reţea telecomunicaţii
423)      ,133030,şef serviciu control zonal comunicaţii
424)      ,133031,şef serviciu exploatare poştală
425)      ,133032,şef serviciu informare zbor
426)      ,133033,şef serviciu navigaţie
427)      ,133034,şef serviciu radiotelecomunicaţii
